TargetID,DB00284,DB06203,DB01076,DB12236,DB01200,DB08907,DB00672,DB00930,DB06292,DB09038,DB11827,DB16165,DB12412,DB01120,DB00222,DB01067,DB01251,DB01016,DB08882,DB00166,DB00678,DB12214,DB00331,DB00491,DB01252,DB00731,DB01132,DB01278,DB00912,DB00412,DB06335,DB13928,DB00641,DB01261,DB12713,DB11950,DB00839,DB01124,DB00273,DB15323,DB04876,DB04878
T18876,0.03339246,0.023847874,0.24524827,0.07718041,0.03381857,0.057169955,0.028487993,0.025038905,0.070397034,0.060535494,0.075981095,0.05383531,0.024328396,0.035735257,0.040097665,0.035738345,0.041995462,0.036215845,0.029044772,0.3485641,0.109731354,0.073935434,0.035532594,0.028607722,0.3925619,0.09259058,0.022664854,0.011256897,0.036749348,0.02388154,0.035500363,0.016246464,0.47353965,0.02611236,0.058552455,0.019744359,0.027855895,0.026673827,0.033595413,0.02618903,0.031868387,0.038130008
T47094,0.0427295,0.025188621,0.01957124,0.009284548,0.023565173,0.007384012,0.007158603,0.010811681,0.007587675,0.0088819135,0.007407545,0.012113507,0.050151803,0.008793002,0.013692592,0.00846768,0.012615981,0.008423098,0.035511717,0.006666257,0.010173576,0.0055966447,0.030095745,0.021066794,0.004882206,0.005942341,0.0063435454,0.18550481,0.0115389135,0.0075198384,0.023514649,0.107961595,0.0045086257,0.040429845,0.011154126,0.01859473,0.0070420476,0.007901793,0.012890468,0.029315269,0.012402428,0.023806922
T25608,0.033956286,0.036424905,0.19973424,0.042457357,0.021884054,0.11220799,0.13714528,0.026635654,0.047679126,0.045175534,0.04287012,0.06466143,0.028816463,0.0570854,0.039180532,0.10385701,0.037297208,0.12995584,0.03426029,0.5137695,0.042247433,0.05943317,0.057730217,0.021845976,0.44757438,0.5166861,0.1107938,0.023718424,0.06250689,0.06444783,0.0156044,0.030325757,0.047413647,0.036944766,0.06837673,0.020535013,0.08527207,0.07197807,0.04245833,0.039749537,0.014276133,0.031704176
T96079,0.037372954,0.0131918285,0.02538454,0.007509046,0.018603988,0.009083843,0.013077882,0.005310265,0.009291869,0.009152414,0.0102185225,0.012223905,0.018413324,0.02289028,0.03460767,0.01777093,0.017770413,0.024042305,0.016634813,0.007376449,0.008826066,0.007853409,0.023126151,0.039797638,0.0104286745,0.006627419,0.01006344,0.054527227,0.01002894,0.010156607,0.0067194793,0.06945245,0.0056923544,0.014915894,0.006110634,0.006270779,0.0130745275,0.014709512,0.011685311,0.0123891365,0.0036883913,0.018574601
T89034,0.028824862,0.017911984,0.0129413605,0.010485262,0.010143304,0.015642608,0.03353159,0.01311477,0.010797124,0.009972036,0.011367092,0.019831443,0.021428816,0.015190028,0.020694353,0.011828518,0.017075807,0.008581862,0.016789773,0.012826154,0.013590147,0.0069136745,0.029888261,0.020702735,0.010426057,0.008263249,0.007979548,0.019319488,0.01344987,0.009901053,0.0104996115,0.018151844,0.008027068,0.020553563,0.0076545267,0.011516064,0.015425609,0.02338236,0.020916907,0.017114334,0.0131300995,0.028630149
T52921,0.052028783,0.03865028,0.024449686,0.010534096,0.10025547,0.014309417,0.0060108434,0.018321102,0.007209465,0.0092690615,0.007285821,0.02329104,0.049017444,0.0068195984,0.013438092,0.008812964,0.012657072,0.008984503,0.05528412,0.0054508783,0.012482478,0.008540534,0.021091504,0.04182529,0.004706513,0.006140165,0.005153382,0.21983212,0.021441769,0.012808305,0.032600462,0.1569939,0.0041430746,0.0355106,0.008913552,0.05432086,0.0065688426,0.005722774,0.01335426,0.04204474,0.016621888,0.022065321
T88185,0.031695858,0.044307962,0.050032873,0.029079014,0.02574066,0.030887296,0.38770247,0.0369774,0.032299943,0.026047125,0.03383843,0.094048336,0.049048353,0.11392155,0.07504258,0.09325675,0.035068892,0.044987008,0.0635209,0.56329215,0.057016257,0.02122485,0.5616699,0.18487412,0.10943884,0.08299813,0.11394049,0.020631576,0.050056703,0.07381613,0.031706396,0.01727015,0.028765364,0.09104347,0.030257815,0.016606255,0.1122949,0.2712478,0.08452928,0.06458157,0.016672183,0.0444004
T36059,0.059493292,0.07735157,0.044414684,0.10059054,0.043912902,0.11312595,0.084695935,0.038877398,0.10929516,0.106468864,0.0889812,0.09037723,0.031787425,0.050384965,0.045322224,0.11919846,0.028362755,0.06139738,0.08224366,0.027341075,0.09045658,0.1052196,0.055552714,0.038569815,0.02168125,0.015190898,0.041849118,0.042253494,0.06036886,0.18700601,0.042883005,0.032612268,0.028914537,0.032590773,0.12070324,0.065705135,0.034248453,0.045077596,0.05293687,0.07223299,0.057734575,0.061926406
T99524,0.018850015,0.29693404,0.014369837,0.016842872,0.020473126,0.017301343,0.025004974,0.08833417,0.010883315,0.015732674,0.011123,0.019218856,0.03721442,0.011102916,0.0069129984,0.0068936422,0.009347586,0.010670463,0.09714657,0.024555655,0.016039046,0.013141638,0.06431382,0.15583825,0.009479765,0.005860258,0.014823185,0.03906922,0.010474905,0.02893692,0.036915906,0.031588323,0.009957574,0.055171095,0.016630713,0.022098318,0.013450991,0.016209882,0.014795305,0.28584737,0.020887343,0.018416356
T90782,0.08789651,0.022993755,0.025929697,0.026751067,0.022847004,0.024961552,0.03157871,0.016811179,0.024084885,0.026414178,0.03419028,0.022749323,0.040427115,0.02567313,0.026121303,0.034970365,0.023592778,0.02431348,0.03249949,0.029643405,0.021382064,0.018622685,0.031699434,0.04189615,0.019185822,0.016878827,0.01705882,0.02583317,0.015162684,0.016771372,0.018529404,0.03311988,0.020207804,0.027491167,0.02526408,0.011614503,0.033597432,0.0287832,0.042656228,0.023196446,0.017536273,0.051778607
