TargetID,DB00284,DB06203,DB01076,DB12236,DB01200,DB08907,DB00672,DB00930,DB06292,DB09038,DB11827,DB16165,DB12412,DB01120,DB00222,DB01067,DB01251,DB01016,DB08882,DB00166,DB00678,DB12214,DB00331,DB00491,DB01252,DB00731,DB01132,DB01278,DB00912,DB00412,DB06335,DB13928,DB00641,DB01261,DB12713,DB11950,DB00839,DB01124,DB00273,DB15323,DB04876,DB04878
T62292,0.0006108511,0.001467789,0.0014208604,0.0012572856,0.0003042537,0.00605934,0.00093847275,0.016627168,0.0015824273,0.0036280786,0.0016853726,0.0007949296,0.004450116,1.6300777e-05,4.2044725e-05,3.771995e-05,0.00022131865,3.7284665e-06,0.0025112245,0.00021645612,0.0002865777,0.0006845741,0.030695258,0.00011198214,2.7033933e-05,2.5090443e-05,0.0045360797,7.0609176e-06,6.711669e-05,0.00095261185,4.4295004e-05,6.7154647e-06,0.007800646,0.0024727196,0.0017037999,0.00015447382,2.7634604e-05,0.00017902098,0.14073195,9.7262586e-05,0.000440776,0.00014150537
T26368,0.0008856956,0.00024514034,0.0020752074,0.0009236659,5.5249213e-05,0.004072216,0.0026047481,0.021308169,0.0011712427,0.0022932289,0.0009102538,0.000547336,0.0011086552,1.8525443e-05,1.9841522e-05,1.6223265e-05,0.00014005012,3.517272e-06,0.0008037887,0.0003433134,0.00026686865,0.0008326751,0.0099968985,3.228481e-05,9.0755304e-05,3.5000783e-05,0.0015536353,4.9701325e-06,0.00016791496,0.0006038406,8.273326e-05,2.795954e-06,0.009489146,0.0014379874,0.001222189,5.725116e-05,1.6082273e-05,0.00016937117,0.08024136,3.8606024e-05,0.00055287086,9.843356e-05
T51487,0.0043488895,0.0144524425,0.0057058525,0.009000498,0.00069765036,0.03430007,0.08166357,0.4842019,0.015015623,0.033330493,0.009714668,0.0024929496,0.048173197,0.0005667436,8.919619e-05,0.00011694142,0.0028546073,2.3461782e-05,0.0077470397,0.0038352099,0.0012317279,0.009060361,0.1492574,0.00034117696,0.00028470872,0.00027549808,0.06388467,2.7241487e-05,0.0006341962,0.027946537,0.0006178045,2.858203e-05,0.046012443,0.03860085,0.014078882,0.00043673284,0.0005259337,0.0067459005,0.46187568,0.00096004043,0.0019281969,0.0012305622
T80387,0.005453088,0.011058869,0.006303905,0.019151427,0.0015795686,0.46924692,0.049850702,0.40195674,0.095690906,0.05754459,0.011268527,0.007173118,0.0014612143,0.00011067711,0.00010062108,4.5989298e-05,0.00051198696,8.840419e-06,0.0047910386,0.0012257904,0.0035302977,0.24712098,0.38101035,0.00023187691,0.0003015168,0.0002748194,0.024027754,0.00027758017,0.029238988,0.012197321,0.0007795095,0.00010071132,0.16303241,0.0020885824,0.20344286,0.00047511872,0.00077767903,0.002797847,0.53568804,0.00272537,0.0015518966,0.0002838855
T83875,0.0015670903,0.0044273706,3.1535634e-05,0.002086969,0.0101598995,0.0021620318,0.31457996,0.51308066,0.0109848175,0.0039534504,0.0028090484,0.000689394,0.00012665016,0.112680934,0.0042842254,0.0019714348,0.0016318263,0.022289366,0.0014611335,0.012467002,0.00014046725,0.00852593,0.33616227,0.03867439,0.0021077173,0.0020103988,0.192532,0.0032603925,3.5131197e-05,0.2292829,0.0019314049,0.0022040934,0.00095028215,0.189865,0.008747555,0.0010680509,0.46390578,0.11925469,0.008380501,0.4446104,0.0070390324,0.0014775279
T10265,0.00030723622,0.8684607,0.0010834581,0.008786412,0.1284494,0.015192188,0.5164404,0.013578784,0.017920995,0.016936302,0.03250701,0.99525577,0.28318608,0.12631947,0.05912474,0.12942694,0.86534816,0.018632045,0.27688774,0.0046359473,0.0019277765,0.038379937,0.025716813,0.0007330893,0.0059101223,0.0022083784,0.16840422,0.00023607076,0.07681539,0.28769782,0.0034598277,0.00019388177,0.010124924,0.003934105,0.12962039,0.008348046,0.10750399,0.058178987,0.013672914,0.028411832,0.07243624,4.6738627e-05
T02001,0.00054049335,0.5855329,0.0011923368,0.0019780812,0.11176359,0.0067135864,0.2063338,0.005435979,0.0088480115,0.0033692038,0.01715901,0.985466,0.015210855,0.017037177,0.018288251,0.008156919,0.2799696,0.002417596,0.15770708,0.005965815,0.0017300597,0.025125317,0.07000448,0.00063018064,0.006864138,0.0038105606,0.0825497,0.00024997647,0.03466492,0.18181477,0.007668933,0.00012731079,0.010904837,0.0035844625,0.11017896,0.003337952,0.12016072,0.07327189,0.016870575,0.035251528,0.02540234,7.4821815e-05
T07663,0.004993174,0.03444356,0.027228296,0.054835755,0.7621786,0.07520313,0.0023972213,0.0008455378,0.046592645,0.07083523,0.22033057,0.97282016,0.12721154,0.0066177654,0.3782689,0.031218113,0.16551724,0.02537032,0.021235373,0.016512318,0.04249541,0.26822108,0.15855137,0.001406551,0.0840908,0.0026550095,0.7403399,0.0053383876,0.28569454,0.09764046,0.03961688,0.0066616605,0.020635474,0.061119292,0.15898484,0.0046455273,0.010184741,0.010667739,0.04601573,0.014228069,0.03381785,0.0006706272
T61744,0.0011150101,0.54945725,0.0032416882,0.0031015158,0.075305074,0.017828304,0.31299987,0.011872762,0.017556155,0.005326796,0.018439189,0.98996603,0.012047927,0.0090458775,0.008699311,0.023539003,0.15244211,0.0041230833,0.13803147,0.0031904352,0.0015569082,0.084884584,0.037983894,0.0011493105,0.0071237693,0.0012398167,0.14231768,0.00024177066,0.045268323,0.613338,0.0023937933,0.00017189888,0.00589065,0.0035349,0.12268918,0.004245244,0.03674998,0.05917472,0.0062373388,0.025870789,0.011270372,0.00020415407
T68698,0.022144776,0.001999847,7.403679e-06,0.0031159413,0.0016674688,0.0018817076,1.1510031e-05,0.004797759,0.013993102,0.007911097,0.03158466,3.2557884e-05,2.923388e-05,1.9786987e-05,0.00028498625,4.988959e-05,7.888623e-06,1.11666795e-05,0.00045015785,3.3230892e-05,8.094295e-08,0.007898671,0.014909277,0.0042222748,0.00017053341,4.778833e-06,3.2549508e-06,0.00010929149,1.1150835e-05,0.00021826371,0.00051031803,0.00048588635,0.0015433715,9.464853e-06,0.018172396,0.00090813835,1.2944698e-05,8.498135e-06,0.0038797266,0.00010762733,0.0013059002,0.0027885498
T85943,0.011357019,0.013630974,0.006202329,0.103114836,0.027691761,0.33045086,0.0062923343,0.0005860159,0.27947414,0.17043595,0.22829588,0.00439644,0.00021151475,0.004616583,0.12272477,0.031774648,0.0050952137,0.028551403,0.0015747952,0.011689363,0.051792927,0.32025427,0.002501767,0.00049152604,0.009577818,0.06710663,0.14843094,0.0060802996,0.04411952,0.059947304,0.002146138,0.0011614725,0.01368178,0.02076534,0.42170835,0.0025425595,0.010574799,0.009132728,0.102009796,0.0023281656,0.0058240886,0.0019095305
